,phrase,label,sentiment,subjectivity,language,count
Wiesbaden,Wiesbaden,LOC,0.029166666666666664,0.0,de,24
Dagestan,Dagestan,LOC,-0.4861111111111111,0.13888888888888887,de,24
Hiroshima,Hiroshima,LOC,-0.016666666666666663,0.041666666666666664,de,24
Kolumbien,Kolumbien,LOC,0.024999999999999994,0.14583333333333334,de,24
Halle,Halle,LOC,-0.13749999999999998,0.125,de,24
Ukraine-Krieg +++,Ukraine-Krieg +++,LOC,-0.08695652173913043,0.043478260869565216,de,23
Luxemburg,Luxemburg,LOC,0.014492753623188404,0.0,de,23
Niger,Niger,LOC,0.10869565217391304,0.043478260869565216,de,23
Rügen,Rügen,LOC,-0.7282608695652174,0.043478260869565216,de,23
Pariser,Pariser,LOC,-0.043478260869565216,0.0,de,23
Mexiko,Mexiko,LOC,-0.09637681159420289,0.09420289855072463,de,23
Stockholm,Stockholm,LOC,-0.17391304347826086,0.0,de,23
Afghanistan,Afghanistan,LOC,-0.0608695652173913,0.043478260869565216,de,23
Amerikas,Amerikas,LOC,0.1226086956521739,0.043478260869565216,de,23
Kalifornien,Kalifornien,LOC,-0.25869565217391305,0.043478260869565216,de,23
Texas,Texas,LOC,-0.2590909090909091,0.0,de,22
Athen,Athen,LOC,-0.10454545454545454,0.0,de,22
Libyen,Libyen,LOC,-0.13636363636363635,0.06818181818181818,de,22
Japans,Japans,LOC,-0.10909090909090907,0.022727272727272728,de,22
Budapest,Budapest,LOC,0.07727272727272727,0.045454545454545456,de,22
IMAGO,IMAGO,LOC,-0.029545454545454552,0.045454545454545456,de,22
Minsk,Minsk,LOC,-0.007142857142857138,0.0,de,21
Jemen,Jemen,LOC,-0.1349206349206349,0.055555555555555546,de,21
Dortmund,Dortmund,LOC,-0.09285714285714287,0.023809523809523808,de,21
US-Inflation,US-Inflation,LOC,0.054761904761904755,0.0,de,21
Nato-Gipfel,Nato-Gipfel,LOC,0.18333333333333335,0.023809523809523808,de,21
Jordanien,Jordanien,LOC,-0.03550000000000001,0.16999999999999998,de,20
Oktoberfest,Oktoberfest,LOC,0.034999999999999996,0.05,de,20
Trier,Trier,LOC,-0.2875,0.0,de,20
Leyen,Leyen,LOC,0.10499999999999998,0.1,de,20
Erdogan,Erdogan,LOC,0.1775,0.025,de,20
Freistaat,Freistaat,LOC,-0.135,0.25,de,20
Brandenburger Tor,Brandenburger Tor,LOC,-0.08,0.05,de,20
Bern,Bern,LOC,0.36750000000000005,0.025,de,20
Sierra Leone,Sierra Leone,LOC,-0.30526315789473685,0.0,de,19
E,E,LOC,0.047368421052631574,0.05263157894736842,de,19
Münster,Münster,LOC,-0.1236842105263158,0.02631578947368421,de,19
Magdeburg,Magdeburg,LOC,0.2263157894736842,0.10526315789473684,de,19
Kiewer,Kiewer,LOC,0.09736842105263159,0.05263157894736842,de,19
Mannheim,Mannheim,LOC,0.07368421052631578,0.0,de,19
Großbritanniens,Großbritanniens,LOC,0.11842105263157894,0.0,de,19
Schwarze Meer,Schwarze Meer,LOC,0.28552631578947374,0.05263157894736842,de,19
russische Regierung,russische Regierung,LOC,-0.25555555555555554,0.0,de,18
Westukraine,Westukraine,LOC,0.01666666666666667,0.0,de,18
MV,MV,LOC,-0.07222222222222223,0.0,de,18
Getreideabkommens,Getreideabkommens,LOC,0.04722222222222222,0.05555555555555555,de,18
Land,Land,LOC,-0.07592592592592592,0.16666666666666666,de,18
Amt,Amt,LOC,0.15555555555555556,0.05555555555555555,de,18
Lingen,Lingen,LOC,0.07222222222222223,0.0,de,18
Kuba,Kuba,LOC,0.09722222222222222,0.027777777777777776,de,18
Gazastreifens,Gazastreifens,LOC,-0.10277777777777779,0.0,de,18
Litauens,Litauens,LOC,-0.1388888888888889,0.1388888888888889,de,18
Hamburgs,Hamburgs,LOC,0.20925925925925923,0.05555555555555555,de,18
B…,B…,LOC,0.0,0.05555555555555555,de,18
Xi,Xi,LOC,-0.09444444444444444,0.0,de,18
Videoansprache,Videoansprache,LOC,0.10735294117647057,0.058823529411764705,de,17
Kupjansk,Kupjansk,LOC,0.041176470588235294,0.0,de,17
Mainz,Mainz,LOC,0.03529411764705883,0.058823529411764705,de,17
Alpen,Alpen,LOC,-0.049999999999999996,0.17647058823529413,de,17
Brandenburgs,Brandenburgs,LOC,0.03529411764705883,0.04901960784313725,de,17
Mützenich,Mützenich,LOC,-0.07647058823529412,0.11764705882352941,de,17
Äthiopien,Äthiopien,LOC,0.1764705882352941,0.14705882352941177,de,17
Republik,Republik,LOC,-0.19705882352941176,0.20588235294117646,de,17
Biden,Biden,LOC,0.08235294117647059,0.11764705882352941,de,17
Flughafen,Flughafen,LOC,-0.041176470588235294,0.0,de,17
Vereinigten Arabischen Emirate,Vereinigten Arabischen Emirate,LOC,-0.03529411764705883,0.11764705882352941,de,17
Pjöngjang,Pjöngjang,LOC,0.08235294117647059,0.0,de,17
Sumy,Sumy,LOC,0.0,0.0,de,17
Duisburger,Duisburger,LOC,-0.058823529411764705,0.0,de,17
Euro-Raum,Euro-Raum,LOC,0.16875,0.0,de,16
Cherson +++,Cherson +++,LOC,-0.004166666666666671,0.0,de,16
britische Regierung,britische Regierung,LOC,-0.04375,0.0,de,16
Bundesnetzagentur,Bundesnetzagentur,LOC,-0.30312500000000003,0.078125,de,16
Neu Delhi,Neu Delhi,LOC,0.09687499999999999,0.025,de,16
Myanmar,Myanmar,LOC,-0.25,0.0,de,16
Tel Aviv,Tel Aviv,LOC,-0.209375,0.09375,de,16
Israelis,Israelis,LOC,-0.34375,0.21875,de,16
G-20-Gipfel,G-20-Gipfel,LOC,0.10937499999999997,0.03125,de,16
ukrainische Regierung,ukrainische Regierung,LOC,0.10937499999999999,0.21875,de,16
Ankara,Ankara,LOC,-0.0625,0.0,de,16
Euronews,Euronews,LOC,0.22499999999999998,0.0,de,16
US-Außenminister,US-Außenminister,LOC,0.090625,0.0,de,16
Wall Street,Wall Street,LOC,0.17916666666666664,0.03125,de,16
Kanadas,Kanadas,LOC,0.43437499999999996,0.0625,de,16
Prag,Prag,LOC,-0.018750000000000003,0.0,de,16
Irland,Irland,LOC,-0.08666666666666667,0.06666666666666667,de,15
Duisburg,Duisburg,LOC,-0.11333333333333334,0.0,de,15
Duma,Duma,LOC,-0.19,0.0,de,15
Palästinenser,Palästinenser,LOC,-0.2611111111111111,0.0,de,15
Erfurt,Erfurt,LOC,-0.44666666666666666,0.0,de,15
Verteidigungsministeriums,Verteidigungsministeriums,LOC,0.04666666666666666,0.06666666666666667,de,15
Rostow,Rostow,LOC,-0.15333333333333332,0.0,de,15
Essener,Essener,LOC,0.0,0.2,de,15
Umweltbundesamt,Umweltbundesamt,LOC,0.10333333333333332,0.0,de,15
Madrid,Madrid,LOC,-0.17666666666666667,0.0,de,15
Syriens,Syriens,LOC,-0.21666666666666667,0.06666666666666667,de,15
England,England,LOC,0.20666666666666664,0.06666666666666667,de,15
Kremls,Kremls,LOC,0.3466666666666667,0.03333333333333333,de,15
Au,Au,LOC,-0.06666666666666667,0.0,de,15
Sankt Petersburg,Sankt Petersburg,LOC,0.0,0.0,de,15
Portugal,Portugal,LOC,0.020714285714285702,0.08571428571428572,de,14
Sunak,Sunak,LOC,0.1357142857142857,0.0,de,14
Illerkirchberg,Illerkirchberg,LOC,-0.35714285714285715,0.0,de,14
Hausbesitzer,Hausbesitzer,LOC,0.28928571428571426,0.25,de,14
Weiße Haus,Weiße Haus,LOC,0.31428571428571433,0.0,de,14
Milliardenhöhe,Milliardenhöhe,LOC,-0.19999999999999998,0.0,de,14
Brasilia,Brasilia,LOC,-0.09285714285714286,0.0,de,14
Nashville,Nashville,LOC,0.08928571428571429,0.14285714285714285,de,14
Klima-Chaoten,Klima-Chaoten,LOC,-0.06,0.09999999999999999,de,14
Südkoreas,Südkoreas,LOC,0.09999999999999999,0.0,de,14
Rostock,Rostock,LOC,-0.2357142857142857,0.14285714285714285,de,14
Bundesrechnungshof,Bundesrechnungshof,LOC,-0.3095238095238096,0.0,de,14
Klima-Protest,Klima-Protest,LOC,-0.049999999999999996,0.07142857142857142,de,14
Dschidda,Dschidda,LOC,-0.0023809523809523885,0.0,de,14
Burkina Faso,Burkina Faso,LOC,-0.2857142857142857,0.0,de,14
Bundesfinanzministerium,Bundesfinanzministerium,LOC,0.25,0.2857142857142857,de,14
US-Soldaten,US-Soldaten,LOC,0.03928571428571428,0.14285714285714285,de,14
Thüringens,Thüringens,LOC,-0.1464285714285714,0.21428571428571427,de,14
Jerusalem,Jerusalem,LOC,-0.06071428571428572,0.0,de,14
Thüringer,Thüringer,LOC,-0.08214285714285714,0.35714285714285715,de,14
Westafrika,Westafrika,LOC,-0.021428571428571432,0.0,de,14
Pekings,Pekings,LOC,-0.07738095238095237,0.047619047619047616,de,14
Lambrecht,Lambrecht,LOC,-0.17307692307692307,0.07692307692307693,de,13
Nürnberger,Nürnberger,LOC,-0.07692307692307693,0.15384615384615385,de,13
Brüsseler,Brüsseler,LOC,0.10769230769230768,0.0,de,13
Ukraine-Update,Ukraine-Update,LOC,0.25,0.0,de,13
Kreminna,Kreminna,LOC,0.24615384615384617,0.0,de,13
Spezialoperation,Spezialoperation,LOC,-0.06153846153846154,0.0,de,13
Balkan,Balkan,LOC,0.08076923076923076,0.038461538461538464,de,13
Kabul,Kabul,LOC,0.1051282051282051,0.0,de,13
Gelsenkirchen,Gelsenkirchen,LOC,0.0,0.0,de,13
US-Präsidenten,US-Präsidenten,LOC,-0.10576923076923078,0.0,de,13
T,T,LOC,-0.07692307692307693,0.07692307692307693,de,13
Lawrow,Lawrow,LOC,-0.1769230769230769,0.0,de,13
Hause,Hause,LOC,0.0,0.07692307692307693,de,13
Kernkraftwerk Saporischschja,Kernkraftwerk Saporischschja,LOC,-0.02692307692307692,0.038461538461538464,de,13
F.A.Z.-Newsletter,F.A.Z.-Newsletter,LOC,0.0,0.06153846153846154,de,13
Regensburg,Regensburg,LOC,-0.07692307692307693,0.0,de,13
