day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2022-06-29,0.2972624884884634,0.3777126264160086,-0.4643055201926889,0.03461752073011067,2.0
2022-07-01,0.5643456479670041,1.0,-0.48878380384881603,1.0,1.0
2022-07-03,-0.13088685651364795,1.7101979902591908,-0.39724981760588934,0.06021356330259788,2.0
2022-07-04,-1.4678608265913264,0.4756793059103105,-0.43982723653656175,1.0,2.0
2022-07-06,0.7234594299515684,1.0,-0.7487760204827338,1.0,1.0
2022-07-08,-1.7635830840564934,1.1983079727400325,-0.6370178898519744,0.15804986404348403,2.0
2022-07-09,-1.0394492556053854,1.0,1.7896918426049544,1.0,1.0
2022-07-10,2.06544213567907,1.0,-0.20398929429671392,1.0,1.0
2022-07-12,-0.24993662275652642,0.154048396198706,-0.5511647055380038,0.2794646016732183,2.0
2022-07-13,0.941502302367031,1.0,-0.4812656806697982,1.0,1.0
2022-07-14,0.030179329009922606,1.0,-0.43982723653656175,1.0,1.0
2022-07-15,-0.42974259697664025,0.6287963545576282,0.7322577342226904,1.8832213179908806,2.0
2022-07-18,0.9050359709954334,0.2671583515190503,-0.7344291601529147,0.020289524455902753,2.0
2022-07-19,0.7234594299515684,1.0,-0.7487760204827338,1.0,1.0
2022-07-21,-0.7171526816183824,0.019950637971642326,-0.4434745725575614,0.04159181323013798,2.0
2022-07-24,-0.14100795717350945,1.0,-0.7487760204827338,1.0,1.0
2022-07-25,-0.14100795717350945,0.0,1.2941742027148408,0.0,2.0
2022-07-27,0.11707298941797428,1.0,-0.35467239867521694,1.0,1.0
2022-07-28,0.030179329009922606,1.0,-0.43982723653656175,1.0,1.0
2022-07-29,-1.4674900092001861,1.0,-0.4728844257344363,1.0,1.0
2022-07-31,-0.7347017485782209,1.0,-0.5993808302037289,1.0,1.0
2022-08-01,-0.5201395365342395,1.0,-0.43982723653656175,1.0,1.0
2022-08-02,-0.2568476704809704,0.363237459058124,0.28058212819771106,0.3968030510567094,2.0
2022-08-03,-0.14100795717350945,1.0,-0.7487760204827338,1.0,1.0
2022-08-04,0.3935457713763292,0.7559731327322877,0.046642528736864586,0.8012202418632803,2.0
2022-08-05,-0.4256559735447468,1.407512089134756,0.3436975608799965,1.2929528143589333,2.0
2022-08-06,-0.9180147053608132,1.0,-0.5993808302037289,1.0,1.0
2022-08-07,-0.7419389764016896,1.0,0.6872015808582681,1.0,1.0
2022-08-10,-0.9769659462481531,1.0,-0.5252597592212149,1.0,1.0
2022-08-11,-0.789407924041901,1.824290803768264,0.47097849867201474,1.2880738234191669,2.0
2022-08-16,-0.3090988681038521,0.0703803464480734,0.833630312314252,1.6789312936801342,2.0
2022-08-17,-0.012151446977862803,1.0,-0.4728844257344363,1.0,1.0
2022-08-18,-1.628771716202032,1.0,,1.0,1.0
2022-08-22,-0.14100795717350945,1.2225415031015179,-0.7487760204827338,0.0,2.0
